"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
984,2,1,0,2,2,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,74,2,0,74,43,0,2,26,0,0,1,0,2,0,0,1,35,2,1,1,1,1,0,3,66,0,0,0,0,0,0,0
986,10,23,11,21,21,0,0,10,0,0,9,23,9,20,0,21,0,3,0,9,0,0,0,0,11,0,0,0,0,0,0,0
987,35,12,0,32,6,0,13,32,0,0,11,0,1,0,11,9,0,12,2,1,11,0,0,0,0,0,0,0,0,0,0,0
988,12,7,2,10,10,1,1,5,0,0,3,0,3,4,0,5,3,1,1,4,1,0,0,5,5,0,0,0,0,0,0,0
989,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,12,6,0,4,11,0,6,1,0,1,4,4,4,1,1,0,1,4,2,0,3,1,0,0,2,1,0,0,0,0,0,0
990,4,8,5,9,8,0,0,3,0,0,1,6,3,5,0,8,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0
991,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,0,145,145,145,145,0,0,0,0,0,0,145,0,145,0,145,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0
993,6,10,3,10,10,3,2,6,1,1,4,3,8,5,6,4,2,3,3,4,2,2,0,0,0,0,0,0,0,0,0,0
136,3,2,37,3,40,0,39,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,38,0,0,0,0,0,0,0
409,6,11,0,7,2,1,0,1,0,0,0,5,0,0,1,6,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0
328,4,3,0,3,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,7,2,5,8,0,4,0,0,0,0,2,3,2,0,2,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0
994,14,10,1,18,18,0,2,13,0,0,5,9,7,12,6,10,4,4,2,12,7,5,0,0,1,0,0,0,0,0,0,0
995,23,62,17,39,40,0,1,22,0,0,15,54,15,32,1,31,0,23,0,14,0,0,0,1,18,0,0,0,0,0,0,0
996,1,3,0,3,3,0,2,0,0,0,1,0,1,0,0,1,0,3,1,1,1,1,0,0,2,0,0,0,0,0,0,0
200,7,2,0,4,5,0,1,2,0,0,1,0,1,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
747,109,77,11,109,107,0,97,96,0,0,0,0,74,10,10,13,0,10,10,0,0,0,0,1,11,0,0,0,0,0,0,0
541,5,5,0,5,5,0,1,4,0,0,0,0,2,0,0,3,3,3,0,3,3,0,0,0,1,0,0,0,0,0,0,0
997,21,7,1,21,21,2,7,18,0,0,2,2,4,3,1,14,3,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0
797,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,2,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,4,4,2,4,3,1,1,3,0,0,2,2,2,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
999,24,26,0,21,10,5,11,19,0,0,1,17,6,12,10,12,0,23,5,7,6,5,0,1,0,1,0,0,0,0,0,0
1000,0,2,1,1,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1001,5,4,1,6,4,1,2,4,0,1,1,2,3,2,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1002,31,4,0,24,20,1,7,15,0,0,0,0,7,0,0,18,5,1,0,0,1,1,0,1,4,0,0,0,0,1,0,0
455,6,18,12,18,20,0,6,1,0,0,0,12,1,12,0,15,1,7,2,0,0,0,0,6,17,2,0,0,0,0,0,0
1003,4,1,1,4,1,2,3,2,2,2,0,0,1,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
481,39,108,78,97,104,2,1,9,1,1,20,76,37,90,12,102,5,20,24,13,13,13,0,0,82,0,0,0,0,0,0,0
20,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1004,4,2,0,4,4,2,2,2,0,0,0,2,4,2,2,2,2,2,4,2,2,4,0,0,0,0,0,0,0,0,0,0
830,30,8,0,30,1,0,0,30,0,0,0,0,0,9,1,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,69,72,14,30,63,0,37,14,0,0,0,16,42,17,7,13,6,18,7,1,0,0,0,0,42,0,0,0,0,0,0,0
1005,7,2,0,7,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
