"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
984,164,92,0,164,164,0,0,164,0,0,0,92,0,0,0,164,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,2980,0,0,0,0,0,0,0,0,0,2980,0,0,0,0,0,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,7482,254,0,7482,6016,0,18,3032,0,0,11,0,254,0,0,11,5703,254,11,11,11,11,0,265,7427,0,0,0,0,0,0,0
986,936,2301,1031,1967,1967,0,0,936,0,0,924,2301,924,1955,0,1967,0,346,0,924,0,0,0,0,1031,0,0,0,0,0,0,0
987,4316,1776,0,4242,705,0,1652,4242,0,0,1585,0,191,0,1585,1010,0,1776,196,266,1585,0,0,0,0,0,0,0,0,0,0,0
988,867,588,147,854,818,158,47,631,0,0,194,0,415,515,0,377,18,11,11,20,2,0,0,363,363,0,0,0,0,0,0,0
989,98,0,0,98,37,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,896,424,0,243,845,0,424,39,0,39,255,255,295,75,75,0,75,255,126,0,180,51,0,0,169,75,0,0,0,0,0,0
990,600,1245,655,1255,1245,0,0,590,0,0,10,665,590,655,0,1245,0,600,590,0,0,0,0,0,655,0,0,0,0,0,0,0
991,230,230,0,230,230,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,0,17241,17241,17241,17241,0,0,0,0,0,0,17241,0,17241,0,17241,0,0,0,0,0,0,0,0,17241,0,0,0,0,0,0,0
993,225,401,187,401,401,187,2,225,93,93,96,111,227,205,286,131,18,38,38,20,18,18,0,0,0,0,0,0,0,0,0,0
136,53,87,4211,66,4277,0,4227,53,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,4211,4248,0,0,0,0,0,0,0
409,486,614,0,524,49,11,0,11,0,0,0,101,0,0,38,486,0,101,0,11,11,11,0,0,0,0,0,0,0,0,0,0
328,329,279,0,279,0,0,0,0,0,0,0,0,279,279,0,279,0,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,224,32,87,275,0,190,0,0,0,0,32,188,32,0,32,0,53,0,0,0,0,0,239,85,0,0,0,0,0,0,0
