"_id",Action,Indie,Simulation,Adventure,RPG,Racing,Nudity,Strategy,Free to Play,Sports,Casual,Design & Illustration,Web Publishing,Massively Multiplayer,Violent,Gore,Early Access,Sexual Content,Utilities,Animation & Modeling,Video Production,Education,Software Training,Audio Production,Photo Editing,Documentary,Episodic,Short,Movie,Tutorial,Accounting,360 Video
984,256,0,0,256,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2980,0,0,2980,0,0,0,0,0,0,0,0,0,2980,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,1315,4363,5692,1370,283,0,254,4076,7431,0,6156,0,0,265,254,256,4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,2301,936,0,358,0,924,0,0,0,924,0,0,0,346,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,705,1850,1654,444,2143,0,0,1585,0,0,1585,0,0,0,0,0,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,564,178,60,517,316,0,147,272,216,0,11,0,0,363,147,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989,0,98,0,61,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,349,688,559,126,165,0,0,255,169,0,204,0,0,129,169,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,1245,600,0,590,590,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,17241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
993,307,134,94,38,20,0,0,0,174,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,103,15,0,0,4212,0,0,0,4298,0,0,0,0,4211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,614,11,11,576,0,11,0,0,38,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,329,329,0,279,0,0,0,0,0,0,2,0,0,0,0,279,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
333,224,0,0,188,239,0,0,0,243,0,0,0,0,239,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,561,607,156,66,0,236,0,113,1,236,315,22,0,0,0,0,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0
995,3731,985,106,1581,0,985,0,1218,106,985,0,1,0,1687,1581,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
996,44,6,0,0,0,0,0,0,44,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,110,236,0,110,74,0,1,65,9,0,0,61,0,9,0,0,61,1,61,61,0,0,0,0,0,0,0,0,0,0,0,0
747,6943,0,0,2277,52,0,0,0,52,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,491,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0
997,1299,1666,667,693,894,0,0,737,394,0,148,115,0,0,128,128,394,0,92,115,24,0,0,0,0,0,0,0,0,0,0,0
797,1,20,0,20,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,0,0,93,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,112,117,92,0,114,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,2241,755,195,2538,1963,0,0,902,6,0,149,0,0,1631,1625,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,354,0,0,347,0,0,0,0,0,0,0,0,0,347,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,343,0,0,207,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1714,230,152,791,1533,0,0,0,310,0,7,0,0,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,2147,384,0,851,990,0,0,0,0,0,0,0,0,1457,524,0,800,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,87,7,0,7,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,9424,1324,270,972,771,0,0,0,394,0,200,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,357,196,357,196,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,0,2,468,0,1485,0,0,2,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,5744,510,6,879,529,11,45,488,0,0,0,0,0,966,879,10,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,708,0,0,0,0,0,142,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,811,312,21,717,451,0,0,0,0,0,0,682,0,426,426,0,682,0,682,682,0,0,0,0,0,0,0,0,0,0,0,0
949,348,348,0,341,581,0,359,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,833,118,118,1438,1338,0,3,1144,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,103,409,379,10,542,0,0,322,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,3525,6352,1891,3110,3180,3079,0,2889,0,3281,490,2,0,961,96,0,1891,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0
1006,6,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,1772,597,1790,1276,1327,30,0,2554,15,0,0,0,0,1485,29,0,415,0,550,0,550,0,550,550,0,0,0,0,0,0,0,0
1007,26,42,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,776,812,771,668,1425,0,0,654,709,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,173,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,198,0,0,209,269,0,0,0,0,0,0,0,0,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,538,437,235,437,625,0,0,122,0,0,0,0,0,437,87,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,3265,59,0,935,1916,15,0,0,0,15,147,0,0,471,2181,0,59,0,9587,0,9587,0,9587,9587,0,0,0,0,0,0,0,0
1009,0,1055,1150,0,102,0,0,0,95,0,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,3488,3094,215,2002,3350,0,1239,19,1770,0,311,0,0,1989,1455,939,1796,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,522,1408,507,387,374,0,0,542,0,212,1015,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,1419,0,0,0,1419,0,0,0,0,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,130,0,0,128,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,9701,11676,13659,9446,13335,0,9402,11591,2057,0,1943,0,0,0,9370,9370,9370,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,532,635,49,177,464,0,0,1013,901,0,902,0,0,901,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,274,0,0,0,0,0,274,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,2191,5589,2709,3227,3541,0,0,3648,1703,0,1846,0,0,0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,39,9,0,9,0,39,0,0,0,0,0,853,0,39,0,0,0,0,0,853,853,0,0,0,0,0,0,0,0,0,0,0
874,3116,1833,336,1965,370,0,0,150,184,0,642,0,0,525,469,39,150,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,189,29,70,52,0,29,0,1174,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,288,3,0,78,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2024,342,0,1891,123,0,0,58,0,263,321,1090,0,797,787,0,273,0,0,1090,1090,0,0,0,0,0,0,0,0,0,0,0
745,3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,1,1,1,1,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,245,600,600,95,355,0,0,5,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,805,30,104,675,171,0,5,192,0,0,0,0,0,675,575,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
